embeddings_name,Num_Topics,n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_method,topic_coherence_c_v
all-mpnet-base-v2,16,15,25,20,20,eom,0.4823310234071498
all-mpnet-base-v2,8,15,25,10,20,eom,0.4823310234071498
all-mpnet-base-v2,20,15,25,20,20,eom,0.4823310234071498
all-mpnet-base-v2,18,15,25,20,20,eom,0.4823310234071498
all-mpnet-base-v2,8,15,25,20,20,eom,0.4823310234071498
all-mpnet-base-v2,20,15,25,15,20,eom,0.4823310234071498
all-mpnet-base-v2,10,15,25,20,20,eom,0.4823310234071498
all-mpnet-base-v2,8,15,25,15,20,eom,0.4823310234071498
all-mpnet-base-v2,14,15,25,20,20,eom,0.4823310234071498
all-mpnet-base-v2,18,10,5,20,15,eom,0.48226051626857036
all-mpnet-base-v2,12,10,5,20,15,eom,0.48226051626857036
all-mpnet-base-v2,14,10,5,20,15,eom,0.48226051626857036
all-mpnet-base-v2,10,10,5,20,15,eom,0.48226051626857036
all-mpnet-base-v2,16,10,5,20,15,eom,0.48226051626857036
all-mpnet-base-v2,20,10,5,20,15,eom,0.48226051626857036
all-mpnet-base-v2,8,10,5,20,15,eom,0.48226051626857036
all-mpnet-base-v2,16,25,5,5,15,eom,0.48213561930662563
all-mpnet-base-v2,14,25,5,5,15,eom,0.48213561930662563
all-mpnet-base-v2,20,25,5,5,15,eom,0.48213561930662563
all-mpnet-base-v2,10,25,5,5,15,eom,0.48213561930662563
all-mpnet-base-v2,12,25,5,5,15,eom,0.48213561930662563
all-mpnet-base-v2,18,25,5,5,15,eom,0.48213561930662563
all-mpnet-base-v2,8,15,5,5,20,eom,0.481924732633727
all-mpnet-base-v2,8,15,25,5,20,eom,0.48183571568741673
all-mpnet-base-v2,20,20,10,10,15,eom,0.4817961936217245
all-mpnet-base-v2,16,20,10,10,15,eom,0.4817961936217245
all-mpnet-base-v2,14,20,10,10,15,eom,0.4817961936217245
all-mpnet-base-v2,18,20,10,10,15,eom,0.4817961936217245
all-mpnet-base-v2,10,20,10,10,15,eom,0.4817961936217245
all-mpnet-base-v2,12,20,10,10,15,eom,0.4817961936217245
all-mpnet-base-v2,10,10,10,20,20,eom,0.48169091797075947
all-mpnet-base-v2,16,10,10,20,20,eom,0.48169091797075947
all-mpnet-base-v2,12,10,10,15,20,eom,0.48169091797075947
all-mpnet-base-v2,12,10,10,20,20,eom,0.48169091797075947
all-mpnet-base-v2,18,10,10,20,20,eom,0.48169091797075947
all-mpnet-base-v2,20,10,10,15,20,eom,0.48169091797075947
all-mpnet-base-v2,14,10,10,20,20,eom,0.48169091797075947
all-mpnet-base-v2,18,10,10,15,20,eom,0.48169091797075947
all-mpnet-base-v2,14,10,10,15,20,eom,0.48169091797075947
all-mpnet-base-v2,10,10,10,15,20,eom,0.48169091797075947
all-mpnet-base-v2,20,10,10,20,20,eom,0.48169091797075947
all-mpnet-base-v2,16,10,10,15,20,eom,0.48169091797075947
all-mpnet-base-v2,8,25,10,15,5,eom,0.48149207991349324
all-mpnet-base-v2,8,10,5,10,20,eom,0.48137797122504256
all-mpnet-base-v2,8,10,5,5,20,eom,0.48137797122504256
all-mpnet-base-v2,10,20,10,5,10,eom,0.4813304300749221
all-mpnet-base-v2,18,15,5,10,20,eom,0.4808609692329116
all-mpnet-base-v2,14,15,5,10,20,eom,0.4808609692329116
all-mpnet-base-v2,8,15,5,10,20,eom,0.4808609692329116
all-mpnet-base-v2,12,15,5,10,20,eom,0.4808609692329116
all-mpnet-base-v2,10,15,5,10,20,eom,0.4808609692329116
all-mpnet-base-v2,16,15,5,10,20,eom,0.4808609692329116
all-mpnet-base-v2,20,15,5,10,20,eom,0.4808609692329116
all-mpnet-base-v2,10,10,15,5,5,eom,0.4806514708544869
all-mpnet-base-v2,8,15,25,10,15,eom,0.4804560951642522
all-mpnet-base-v2,8,15,25,15,15,eom,0.4804560951642522
all-mpnet-base-v2,8,20,15,5,5,eom,0.4804044040358012
all-mpnet-base-v2,10,10,5,5,5,eom,0.48030624259697113
all-mpnet-base-v2,6,15,5,10,15,eom,0.4801452811622336
all-mpnet-base-v2,20,25,25,15,10,eom,0.4801452782723931
all-mpnet-base-v2,14,25,25,15,10,eom,0.4801452782723931
all-mpnet-base-v2,12,25,25,15,10,eom,0.4801452782723931
all-mpnet-base-v2,16,25,25,15,10,eom,0.4801452782723931
all-mpnet-base-v2,18,25,25,15,10,eom,0.4801452782723931
all-mpnet-base-v2,16,25,25,20,10,eom,0.4799619235785979
all-mpnet-base-v2,14,25,25,20,10,eom,0.4799619235785979
all-mpnet-base-v2,12,25,25,20,10,eom,0.4799619235785979
all-mpnet-base-v2,20,25,25,20,10,eom,0.4799619235785979
all-mpnet-base-v2,10,25,25,20,10,eom,0.4799619235785979
all-mpnet-base-v2,8,25,25,20,10,eom,0.4799619235785979
all-mpnet-base-v2,18,25,25,20,10,eom,0.4799619235785979
all-mpnet-base-v2,10,20,10,10,10,eom,0.4798399003392799
all-mpnet-base-v2,6,20,10,10,15,eom,0.4796405900913688
all-mpnet-base-v2,12,15,20,5,5,eom,0.4795513359369926
all-mpnet-base-v2,4,15,15,5,10,eom,0.4795380689085079
all-mpnet-base-v2,10,20,15,5,10,eom,0.479146982767259
all-mpnet-base-v2,14,25,20,20,15,eom,0.4790268761686546
all-mpnet-base-v2,8,25,20,10,15,eom,0.4790268761686546
all-mpnet-base-v2,14,25,20,15,15,eom,0.4790268761686546
all-mpnet-base-v2,18,25,20,5,15,eom,0.4790268761686546
all-mpnet-base-v2,10,25,20,20,15,eom,0.4790268761686546
all-mpnet-base-v2,8,25,20,5,15,eom,0.4790268761686546
all-mpnet-base-v2,16,25,20,10,15,eom,0.4790268761686546
all-mpnet-base-v2,14,25,20,10,15,eom,0.4790268761686546
all-mpnet-base-v2,16,25,20,5,15,eom,0.4790268761686546
all-mpnet-base-v2,12,25,20,10,15,eom,0.4790268761686546
all-mpnet-base-v2,8,25,20,15,15,eom,0.4790268761686546
all-mpnet-base-v2,12,25,20,20,15,eom,0.4790268761686546
all-mpnet-base-v2,18,25,20,15,15,eom,0.4790268761686546
all-mpnet-base-v2,16,25,20,20,15,eom,0.4790268761686546
all-mpnet-base-v2,8,25,20,20,15,eom,0.4790268761686546
all-mpnet-base-v2,18,25,20,20,15,eom,0.4790268761686546
all-mpnet-base-v2,12,25,20,5,15,eom,0.4790268761686546
all-mpnet-base-v2,18,25,20,10,15,eom,0.4790268761686546
all-mpnet-base-v2,10,25,20,15,15,eom,0.4790268761686546
all-mpnet-base-v2,20,25,20,5,15,eom,0.4790268761686546
all-mpnet-base-v2,10,25,20,5,15,eom,0.4790268761686546
all-mpnet-base-v2,16,25,20,15,15,eom,0.4790268761686546
all-mpnet-base-v2,20,25,20,10,15,eom,0.4790268761686546
all-mpnet-base-v2,12,25,20,15,15,eom,0.4790268761686546
all-mpnet-base-v2,20,25,20,15,15,eom,0.4790268761686546
all-mpnet-base-v2,20,25,20,20,15,eom,0.4790268761686546
all-mpnet-base-v2,10,25,20,10,15,eom,0.4790268761686546
all-mpnet-base-v2,14,25,20,5,15,eom,0.4790268761686546
all-mpnet-base-v2,12,25,15,5,10,eom,0.4790083662286502
all-mpnet-base-v2,8,10,20,5,5,eom,0.47891956508012995
all-mpnet-base-v2,12,25,25,15,20,eom,0.478910877475745
all-mpnet-base-v2,18,25,25,5,20,eom,0.478910877475745
all-mpnet-base-v2,12,25,25,10,20,eom,0.478910877475745
all-mpnet-base-v2,12,25,25,20,20,eom,0.478910877475745
all-mpnet-base-v2,12,25,25,5,20,eom,0.478910877475745
all-mpnet-base-v2,18,25,25,10,20,eom,0.478910877475745
all-mpnet-base-v2,16,25,25,15,20,eom,0.478910877475745
all-mpnet-base-v2,8,25,25,5,20,eom,0.478910877475745
all-mpnet-base-v2,16,25,25,20,20,eom,0.478910877475745
all-mpnet-base-v2,16,25,25,10,20,eom,0.478910877475745
all-mpnet-base-v2,8,25,25,20,20,eom,0.478910877475745
all-mpnet-base-v2,10,25,25,10,20,eom,0.478910877475745
all-mpnet-base-v2,18,25,25,20,20,eom,0.478910877475745
all-mpnet-base-v2,14,25,25,20,20,eom,0.478910877475745
all-mpnet-base-v2,10,25,25,5,20,eom,0.478910877475745
all-mpnet-base-v2,8,25,25,15,20,eom,0.478910877475745
all-mpnet-base-v2,14,25,25,15,20,eom,0.478910877475745
all-mpnet-base-v2,10,25,25,15,20,eom,0.478910877475745
all-mpnet-base-v2,20,25,25,5,20,eom,0.478910877475745
all-mpnet-base-v2,8,25,25,10,20,eom,0.478910877475745
all-mpnet-base-v2,16,25,25,5,20,eom,0.478910877475745
all-mpnet-base-v2,20,25,25,15,20,eom,0.478910877475745
all-mpnet-base-v2,14,25,25,10,20,eom,0.478910877475745
all-mpnet-base-v2,20,25,25,10,20,eom,0.478910877475745
all-mpnet-base-v2,14,25,25,5,20,eom,0.478910877475745
all-mpnet-base-v2,10,25,25,20,20,eom,0.478910877475745
all-mpnet-base-v2,18,25,25,15,20,eom,0.478910877475745
all-mpnet-base-v2,20,25,25,20,20,eom,0.478910877475745
all-mpnet-base-v2,18,10,5,10,20,eom,0.47882027384313997
all-mpnet-base-v2,14,10,5,10,20,eom,0.47882027384313997
all-mpnet-base-v2,12,10,5,10,20,eom,0.47882027384313997
all-mpnet-base-v2,20,10,5,10,20,eom,0.47882027384313997
all-mpnet-base-v2,16,10,5,10,20,eom,0.47882027384313997
all-mpnet-base-v2,10,10,5,10,20,eom,0.4788202738431399
all-mpnet-base-v2,10,10,5,5,20,eom,0.4788202738431399
all-mpnet-base-v2,4,10,10,25,10,eom,0.47838630601110965
